Index;Size;Sick;Death;mindays;maxSickDays;Total;Dead;Immune;Infected;Healthy;Epidemic
1;40;0.03;0.0;6;9;1600;0;199;0;1401;0
2;40;0.03;0.0;6;9;1600;0;208;0;1392;0
3;40;0.03;0.0;6;9;1600;0;499;0;1101;0
4;40;0.03;0.0;6;9;1600;0;470;0;1130;0
5;40;0.03;0.0;6;9;1600;0;58;0;1542;0
6;40;0.03;0.0;6;9;1600;0;4;0;1596;0
7;40;0.03;0.0;6;9;1600;0;1;0;1599;0
8;40;0.03;0.0;6;9;1600;0;5;0;1595;0
9;40;0.03;0.0;6;9;1600;0;228;0;1372;0
10;40;0.03;0.0;6;9;1600;0;53;0;1547;0
1;40;0.0301;0.0;6;9;1600;0;316;0;1284;0
2;40;0.0301;0.0;6;9;1600;0;208;0;1392;0
3;40;0.0301;0.0;6;9;1600;0;448;0;1152;0
4;40;0.0301;0.0;6;9;1600;0;503;0;1097;0
5;40;0.0301;0.0;6;9;1600;0;58;0;1542;0
6;40;0.0301;0.0;6;9;1600;0;4;0;1596;0
7;40;0.0301;0.0;6;9;1600;0;1;0;1599;0
8;40;0.0301;0.0;6;9;1600;0;5;0;1595;0
9;40;0.0301;0.0;6;9;1600;0;228;0;1372;0
10;40;0.0301;0.0;6;9;1600;0;53;0;1547;0
1;40;0.0302;0.0;6;9;1600;0;361;0;1239;0
2;40;0.0302;0.0;6;9;1600;0;233;0;1367;0
3;40;0.0302;0.0;6;9;1600;0;301;0;1299;0
4;40;0.0302;0.0;6;9;1600;0;321;0;1279;0
5;40;0.0302;0.0;6;9;1600;0;58;0;1542;0
6;40;0.0302;0.0;6;9;1600;0;560;0;1040;0
7;40;0.0302;0.0;6;9;1600;0;1;0;1599;0
8;40;0.0302;0.0;6;9;1600;0;5;0;1595;0
9;40;0.0302;0.0;6;9;1600;0;339;0;1261;0
10;40;0.0302;0.0;6;9;1600;0;53;0;1547;0
1;40;0.0303;0.0;6;9;1600;0;364;0;1236;0
2;40;0.0303;0.0;6;9;1600;0;233;0;1367;0
3;40;0.0303;0.0;6;9;1600;0;338;0;1262;0
4;40;0.0303;0.0;6;9;1600;0;503;0;1097;0
5;40;0.0303;0.0;6;9;1600;0;58;0;1542;0
6;40;0.0303;0.0;6;9;1600;0;566;0;1034;0
7;40;0.0303;0.0;6;9;1600;0;1;0;1599;0
8;40;0.0303;0.0;6;9;1600;0;5;0;1595;0
9;40;0.0303;0.0;6;9;1600;0;379;0;1221;0
10;40;0.0303;0.0;6;9;1600;0;325;0;1275;0
1;40;0.0304;0.0;6;9;1600;0;364;0;1236;0
2;40;0.0304;0.0;6;9;1600;0;48;0;1552;0
3;40;0.0304;0.0;6;9;1600;0;182;0;1418;0
4;40;0.0304;0.0;6;9;1600;0;296;0;1304;0
5;40;0.0304;0.0;6;9;1600;0;58;0;1542;0
6;40;0.0304;0.0;6;9;1600;0;415;0;1185;0
7;40;0.0304;0.0;6;9;1600;0;1;0;1599;0
8;40;0.0304;0.0;6;9;1600;0;5;0;1595;0
9;40;0.0304;0.0;6;9;1600;0;374;0;1226;0
10;40;0.0304;0.0;6;9;
